Region,Spearman_r_FlowGAN,Bias_FlowGAN,Spearman_r_ASL,Bias_ASL,Corr_Diff
LingualGyrus,0.38725808298660147,-0.05280074855403525,0.3260678703668358,-0.5360131728144548,0.06119021261976565
MiddleFrontalGyrus,0.32576249188838413,-0.005638135991239394,0.4300874145894567,-0.3570930006865189,-0.10432492270107258
MiddleTemporalGyrusanteriordivision,0.15429247623773712,0.020440150162292038,0.20139710653891663,-0.4280448642455232,-0.047104630301179506
MiddleTemporalGyrusposteriordivision,0.06214452036492728,0.0009386215549798633,0.23262205596060617,-0.5313121372409144,-0.1704775355956789
MiddleTemporalGyrustemporooccipitalpart,0.10146199946558766,-0.010047701907683587,0.36523266022827044,-0.5119536869591206,-0.2637706607626828
OccipitalFusiformGyrus,0.33847387105393745,-0.046495149740163326,0.18807497041645987,-0.2008032206416857,0.15039890063747757
OccipitalPole,0.3485513608428445,0.02861456286715558,0.3378249417872275,-0.3798559433556623,0.010726419055616998
Pallidum,0.34572660991716603,-0.06954200501570902,0.1569263656143833,-0.17852683177793296,0.18880024430278272
ParacingulateGyrus,0.36439286941252813,-0.026607048547374997,0.3112570141619269,-0.4194230479482748,0.053135855250601216
ParahippocampalGyrusanteriordivision,-0.030690537084398974,0.0028464286146598432,0.14497843264495933,-0.362547122197748,-0.1756689697293583
ParahippocampalGyrusposteriordivision,0.32518990724128716,-0.04473365137098884,0.12470893613772567,-0.6171116328001256,0.2004809711035615
ParietalOperculumCortex,0.30579837385960223,-0.06358337546391551,0.22136122456769855,-0.35135954249042745,0.08443714929190368
PlanumPolare,0.47997862350650833,-0.05899096512717767,0.2485780814597091,-0.6330283006880857,0.23140054204679922
PlanumTemporale,0.20044279879375498,-0.038107699052300284,0.2245676985914417,-0.5008588367709367,-0.024124899797686727
PostcentralGyrus,0.3116387372599916,-0.021508424561195616,0.26422872848036033,-0.40795242558592126,0.04741000877963125
PrecentralGyrus,0.24071458563957704,-0.02454603813630557,0.2552200633660343,-0.4206520738759773,-0.014505477726457272
PrecuneousCortex,0.37408863610337056,-0.05541314322221371,0.4733366416001832,-0.4318074325302559,-0.09924800549681262
SubcallosalCortex,0.09638508226132762,-0.00580206226005173,0.13909989693476352,-0.11854250714312041,-0.042714814673435894
SuperiorFrontalGyrus,0.40214528381112336,0.0052877857671021,0.4934152765583845,-0.2774736973448677,-0.09126999274726116
SuperiorParietalLobule,0.4100851242508684,-0.037717802652950785,0.42012444172996904,-0.2974587590323147,-0.01003931747910064
SuperiorTemporalGyrusanteriordivision,0.19166316753826773,-0.000701443944582774,0.1481085620490896,-0.48774735059246516,0.04355460548917814
SuperiorTemporalGyrusposteriordivision,0.1478413558804443,-0.019141659533504284,0.20624498988433784,-0.5316627203309343,-0.058403634003893534
SupracalcarineCortex,0.28907890216436993,-0.057659683256054896,0.3085086078558613,-0.46608311541802444,-0.019429705691491383
SupramarginalGyrusanteriordivision,0.27327556590449287,-0.01207428614402631,0.33599267091651713,-0.46303488111483776,-0.06271710501202427
SupramarginalGyrusposteriordivision,0.3238157040882544,-0.017604841685620532,0.40584799786235065,-0.4639176161641608,-0.08203229377409627
TemporalFusiformCortexanteriordivision,0.08275756766041913,0.015782576072241965,0.1657823414894835,-0.15415880626660344,-0.08302477382906438
TemporalFusiformCortexposteriordivision,0.08592586937435583,0.0030042545235330407,0.21742947665763251,-0.2785347131370961,-0.1315036072832767
TemporalOccipitalFusiformCortex,0.25457113409932436,-0.05498645227892361,0.2786960338970111,-0.20936374308964362,-0.024124899797686727
TemporalPole,0.14360422949192653,0.005635470083394639,0.16597320303851587,-0.35164350889461843,-0.022368973546589344
Thalamus,0.13146543497347024,-0.011132266931518458,0.28808642210940183,-0.2982163216032719,-0.1566209871359316
