region,atlas_index_left,atlas_index_right,cohens_d_real,cohens_d_synthetic,cohens_d_asl,comp_x_synth_minus_asl,comp_y_real_minus_asl,comparison_quadrant,comparison_color,quadrant_category,quadrant_color
Hippocampus,6017,6053,-1.1107282048086724,-1.0123983375791386,-0.5970905007618491,0.41530783681728944,0.5136377040468233,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
InferiorFrontalGyrusparsopercularis,60,61,-0.28905275227383276,-0.3318786532754396,-0.22990075915963237,0.10197789411580721,0.059151993114200385,both_gt_ASL,#2ca02c,similar,#888888
InferiorFrontalGyrusparstriangularis,50,51,-0.31289729525242893,-0.41747594558779727,-0.4801007272995039,-0.06262478171170666,-0.167203432047075,both_lt_ASL,#d62728,similar,#888888
InferiorTemporalGyrusanteriordivision,140,141,-0.2541928853957564,-0.5805640985653318,-0.21361599446060373,0.366948104104728,0.04057689093515268,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
InferiorTemporalGyrusposteriordivision,150,151,-0.3548354988912926,-0.38357823817743186,-0.15181181280871425,0.2317664253687176,0.20302368608257837,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
InferiorTemporalGyrustemporooccipitalpart,160,161,-0.13548158983257366,-0.17241720970808277,-0.0905572297484442,0.08185997995963858,0.044924360084129464,both_gt_ASL,#2ca02c,similar,#888888
InsularCortex,20,21,-0.24831435236028,-0.3642305041654669,-0.019868826826275613,0.34436167733919126,0.22844552553400438,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
IntracalcarineCortex,240,241,0.24122665637609236,0.0980587088490726,-0.2893735480817726,-0.19131483923270004,-0.04814689170568026,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
JuxtapositionalLobuleCortex,260,261,0.14990321695933798,0.23403807829357623,-0.31032319454854596,-0.07628511625496973,-0.16041997758920798,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
LateralOccipitalCortexinferiordivision,230,231,0.1171432360371907,-0.13285212331059176,-0.13657542237355147,-0.0037232990629597063,-0.019432186336360763,both_lt_ASL,#d62728,similar,#888888
LateralOccipitalCortexsuperiordivision,220,221,-0.28370547131199575,-0.03796511330979266,-0.46464324892144776,-0.42667813561165513,-0.180937777609452,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
LingualGyrus,360,361,0.4732780359786588,0.35523991542859634,-0.20946503527225016,0.14577488015634618,0.2638130007064087,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
MiddleFrontalGyrus,40,41,-0.19477461674818194,-0.2445821931960442,-0.5431494723789607,-0.2985672791829165,-0.34837485563077875,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
MiddleTemporalGyrusanteriordivision,110,111,-0.348430817031885,-0.7430750961720046,-0.1952182378947439,0.5478568582772607,0.1532125791371411,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
MiddleTemporalGyrusposteriordivision,120,121,-0.547353807031944,-0.7062882237352621,-0.17662005868796832,0.5296681650472939,0.3707337483439757,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
MiddleTemporalGyrustemporooccipitalpart,130,131,-0.3722189875052742,-0.48751934379406964,-0.18665692999503564,0.300862413799034,0.18556205751023858,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
OccipitalFusiformGyrus,400,401,0.3536265933361533,0.028873206871383665,-0.5387651413681716,-0.5098919344967879,-0.18513854803201824,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
OccipitalPole,480,481,0.11715769245487934,0.042843500192701535,-0.35906182958606475,-0.3162183293933632,-0.24190413713118541,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
Pallidum,5013,5052,0.296562840979369,0.3916800137238613,-0.22458571449956335,0.16709429922429794,0.07197712647980567,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
ParacingulateGyrus,280,281,-0.26135392364856663,-0.3300998720910793,-0.1784684271574982,0.15163144493358113,0.08288549649106844,both_gt_ASL,#2ca02c,similar,#888888
ParahippocampalGyrusanteriordivision,340,341,-0.40302699241668205,-0.18573116863403114,-0.5424297651689584,-0.3566985965349272,-0.1394027727522763,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
ParahippocampalGyrusposteriordivision,350,351,-0.05199318229686355,0.06511580278637043,-0.33238371812013906,-0.26726791533376865,-0.2803905358232755,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
ParietalOperculumCortex,430,431,-0.40408686319140424,-0.6066541938512263,0.13481848565460863,0.4718357081966177,0.2692683775367956,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
PlanumPolare,440,441,-0.17485842994165615,-0.6642223825856438,-0.11316522114235485,0.551057161443289,0.061693208799301305,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
PlanumTemporale,460,461,-0.625265504712424,-0.7198707309299709,-0.009348670919606866,0.710522060010364,0.6159168337928171,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
PostcentralGyrus,170,171,0.02280381137257795,-0.09799234582988205,-0.2978460663250016,-0.19985372049511957,-0.2750422549524236,both_lt_ASL,#d62728,similar,#888888
PrecentralGyrus,70,71,0.07170862176262949,-0.10842763955566598,-0.2660648148269292,-0.1576371752712632,-0.1943561930642997,both_lt_ASL,#d62728,similar,#888888
PrecuneousCortex,310,311,-0.20845552629480868,0.118911841405931,-0.3385993641804418,-0.21968752277451079,-0.1301438378856331,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
SubcallosalCortex,270,271,-0.4817128325093082,-0.3460768800594952,-0.23862352385312607,0.10745335620636914,0.2430893086561821,both_gt_ASL,#2ca02c,similar,#888888
SuperiorFrontalGyrus,30,31,-0.06517682529098727,-0.10289550135277556,-0.5460937794440271,-0.44319827809125156,-0.48091695415303987,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
SuperiorParietalLobule,180,181,-0.16113417019155515,-0.016357655687366416,-0.6460428668750973,-0.6296852111877308,-0.4849086966835421,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
SuperiorTemporalGyrusanteriordivision,90,91,-0.2504134214980272,-0.8469063243957204,-0.2097704130148607,0.6371359113808597,0.04064300848316649,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
SuperiorTemporalGyrusposteriordivision,100,101,-0.47285847914969076,-0.6437141196617315,-0.19948718033940915,0.4442269393223224,0.2733712988102816,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
SupracalcarineCortex,470,471,0.07031010231677091,0.08341415685350362,-0.32201553497819513,-0.2386013781246915,-0.2517054326614242,both_lt_ASL,#d62728,asl_gt_synth,#b2182b
SupramarginalGyrusanteriordivision,190,191,-0.33204326673152373,-0.44251267432634006,-0.3723008995714157,0.07021177475492435,-0.04025763283989198,synth_gt_ASL_real_lt_ASL,#ff7f0e,similar,#888888
SupramarginalGyrusposteriordivision,200,201,-0.417857074503293,-0.41936151567609714,-0.45942319931030007,-0.04006168363420293,-0.041566124807007054,both_lt_ASL,#d62728,similar,#888888
TemporalFusiformCortexanteriordivision,370,371,-0.16002212097645233,-0.37449524222532476,-0.38301568543046804,-0.00852044320514328,-0.22299356445401572,both_lt_ASL,#d62728,similar,#888888
TemporalFusiformCortexposteriordivision,380,381,-0.1868212902197525,-0.28497539390098703,-0.3450158978191784,-0.06004050391819138,-0.1581946075994259,both_lt_ASL,#d62728,similar,#888888
TemporalOccipitalFusiformCortex,390,391,0.1945532215699587,-0.18446229570779024,-0.31746699860630206,-0.13300470289851182,-0.12291377703634337,both_lt_ASL,#d62728,similar,#888888
TemporalPole,80,81,-0.41172717921194757,-0.6128012143595016,-0.3297947204610084,0.28300649389849325,0.08193245875093919,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
Thalamus,2010,2049,-0.8414869927536611,-0.8170553315980972,-0.47336082908294147,0.3436945025151557,0.36812616367071965,both_gt_ASL,#2ca02c,synth_gt_asl,#2166ac
