Region,n_pool,cong_synth_pool,cong_asl_pool,n_dev,cong_synth_dev,cong_asl_dev,n_ho,cong_synth_ho,cong_asl_ho,n_folds,fold_mean_synth,fold_sd_synth,fold_mean_asl,fold_sd_asl
SubcallosalCortex,68,0.5735294117647058,0.5147058823529411,58,0.5689655172413793,0.5,10,0.6,0.6,10,0.5700000000000001,0.213986269318361,0.5033333333333333,0.2640847226568412
SuperiorFrontalGyrus,68,0.7941176470588235,0.75,58,0.7586206896551724,0.7241379310344828,10,1.0,0.9,10,0.76,0.12452378423219469,0.73,0.2496664441476534
SuperiorParietalLobule,68,0.6617647058823529,0.6764705882352942,58,0.6896551724137931,0.6896551724137931,10,0.5,0.6,10,0.6933333333333334,0.19167874358086956,0.6966666666666665,0.1502672516338149
SuperiorTemporalGyrusanteriordivision,68,0.7647058823529411,0.6764705882352942,58,0.7758620689655172,0.7068965517241379,10,0.7,0.5,10,0.7733333333333333,0.1817609337482536,0.7033333333333334,0.2057506581601462
SuperiorTemporalGyrusposteriordivision,68,0.9264705882352942,0.9264705882352942,58,0.9137931034482759,0.9310344827586207,10,1.0,0.9,10,0.9100000000000001,0.12377797725896553,0.9266666666666667,0.09532271373123205
SupracalcarineCortex,68,0.7647058823529411,0.6470588235294118,58,0.7758620689655172,0.6379310344827587,10,0.7,0.7,10,0.7699999999999999,0.18820136313645489,0.6300000000000001,0.20514974958085236
SupramarginalGyrusanteriordivision,68,0.9705882352941176,0.9117647058823529,58,0.9655172413793104,0.896551724137931,10,1.0,1.0,10,0.9633333333333335,0.07769837216465371,0.8966666666666668,0.11910157507432545
SupramarginalGyrusposteriordivision,68,0.9264705882352942,0.8088235294117647,58,0.9137931034482759,0.8103448275862069,10,1.0,0.8,10,0.9133333333333334,0.12090196007764838,0.8066666666666666,0.15460024116378743
TemporalFusiformCortexanteriordivision,68,0.5882352941176471,0.6911764705882353,58,0.5517241379310345,0.7068965517241379,10,0.8,0.6,10,0.5566666666666666,0.25582111805799856,0.7133333333333334,0.19129190414806527
TemporalFusiformCortexposteriordivision,68,0.8970588235294118,0.7352941176470589,58,0.8793103448275862,0.7068965517241379,10,1.0,0.9,10,0.8800000000000001,0.11461152851757891,0.7133333333333333,0.20679804665123275
TemporalOccipitalFusiformCortex,68,0.5588235294117647,0.5882352941176471,58,0.5689655172413793,0.5862068965517241,10,0.5,0.6,10,0.57,0.11049831013734948,0.5833333333333333,0.23053882134718254
TemporalPole,68,0.9558823529411765,0.8823529411764706,58,0.9482758620689655,0.9137931034482759,10,1.0,0.7,10,0.9433333333333334,0.1315153842571138,0.9133333333333334,0.09189365834726813
Thalamus,68,0.6764705882352942,0.5735294117647058,58,0.7068965517241379,0.5862068965517241,10,0.5,0.5,10,0.7066666666666667,0.17554149029450222,0.5833333333333334,0.1686914050076553
