Region,d_real_pool,d_synth_pool,d_asl_pool,d_real_dev,d_synth_dev,d_asl_dev,d_real_ho,d_synth_ho,d_asl_ho
pericalcarine,0.35692893212415094,0.0016041507437075371,-0.35544515060633697,0.47688541566421966,0.2146195425914882,-0.5145952642438242,-0.7325872528291139,-0.7284539167003538,0.14337347420958216
postcentral,-0.16827709072955552,-0.45091841858502724,-0.4564862178212991,-0.31671414279840565,-0.7802443074434127,-0.6116714742838032,0.4120938226594138,0.47559390415552527,0.01711615549695494
posteriorcingulate,0.25775004980468963,0.2221663097586372,-0.6333433372688622,0.13499858197620063,0.07277143714480828,-0.7354767750108915,0.34371089405492916,0.4880696898166575,-0.1349675016103664
precentral,-0.12157983882008118,-0.3950627290249688,-0.5278565030245951,-0.24952621437546077,-0.6538325018030592,-0.5542376818220848,0.3703749169218705,0.40159021631202513,-0.41778515902648233
precuneus,-0.09973594735026173,0.14763237127340606,-0.7221901857469449,-0.1428117442404058,0.12785512137759655,-0.8505084371316103,-0.36234528113003284,0.06434761886575402,-0.19411998106819991
rostralanteriorcingulate,-0.3924111038542828,-0.36692303121196096,-0.32126295831128576,-0.3754635909977579,-0.4707215542774466,-0.22066690281789111,-0.7764255832778326,-0.2857452357408715,-0.9883499664785326
rostralmiddlefrontal,-0.26665642270266526,-0.48400836591007185,-0.723968356834124,-0.4266601084370352,-0.6994820182161442,-0.6537642338573638,0.3903448082639016,0.38354733846351996,-1.4998198934762936
superiorfrontal,0.1020952824529205,-0.06041486755787886,-0.7748047425719402,0.0014027031513751942,-0.2590208088436577,-0.7145272854075297,0.46268095295124984,0.47099734892768,-1.1710108767556564
superiorparietal,0.02687623221420452,0.08973637128244759,-0.7346834807841333,0.08118079450571873,0.13812129615459634,-0.9244065194104631,-0.4968957892782099,-0.27136214007182063,-0.1060534234407223
superiortemporal,-0.4175630099252767,-0.7075159030945125,-0.06441353215993477,-0.41011348746297305,-0.8380606881944472,-0.02249406573122869,-0.21260707947612628,-0.541380783794188,-0.8062716160797511
supramarginal,-0.21592372349084946,-0.35734403074857585,-0.3738348159877947,-0.2378490102320878,-0.4984287703908139,-0.5825022939035236,0.032959508486647214,-0.018927728988433885,0.18815493591781202
transversetemporal,-0.5134747119889611,-0.7009844652543615,-0.4394769087700914,-0.4358151720451225,-0.6885477327639365,-0.5473764487600713,-0.8828646352572908,-0.8881899982135849,0.3470957272672151
