Region,d_real_pool,d_synth_pool,d_asl_pool,d_real_dev,d_synth_dev,d_asl_dev,d_real_ho,d_synth_ho,d_asl_ho
InferiorFrontalGyrusparstriangularis,-1.0479181958429298,-0.8586204813129665,-0.8074300678192236,-1.0893871059224667,-0.7592147241786418,-0.9012246862459938,-0.6820194028377704,-2.5251060436110597,0.1265028964531403
InferiorTemporalGyrusanteriordivision,-1.675043419773686,-0.5810498683556315,-1.7856186390911082,-1.6232913605914696,-0.6154753381609538,-2.087917614758751,-1.5389217695925277,-0.4432323154918238,-0.7821015859603506
InferiorTemporalGyrusposteriordivision,-1.761308041954358,-0.3656068969797351,-0.13637246238973,-2.0421561532286363,-0.400822608297141,-0.14323684671557546,-0.8481942511357848,0.0356809975153637,-0.32196354603115224
InferiorTemporalGyrustemporooccipitalpart,-0.9420578001018735,-0.18918987188071457,-0.7256041194793103,-1.2473534129614707,-0.47876907120168594,-0.8501233039795363,0.5227556939115989,2.3973350779621243,0.0453386750377076
InsularCortex,-1.4088476770905198,-0.8211397795285577,-0.8022356846346715,-1.3190923914223942,-0.8366169873915352,-0.912607441040537,-3.0213073815425537,-0.6533491718846395,0.09504452981522915
IntracalcarineCortex,-0.3925970123765819,-0.2501381458620962,-0.3460857935450526,-0.30974740443522025,-0.34275806762249345,-0.414061652061786,-1.3084109669281203,-0.09224474710253092,-0.3278046095953827
JuxtapositionalLobuleCortex,0.09563297573311337,0.35975243818251046,0.04091176793302637,0.20987045598234347,0.42271290791948746,-0.02132890029616374,-0.21176372177944508,0.21001594537198603,0.7642808114519649
LateralOccipitalCortexinferiordivision,-1.4491900462659317,-0.8480878717636094,-0.9745076124627929,-1.2470459507150269,-0.8745592261862353,-1.031009744140551,-4.139514151951644,-0.6466042713862433,-0.4397052887425116
LateralOccipitalCortexsuperiordivision,-0.8973011733973077,-1.1012059266457777,-0.940380361281671,-0.8677001759130678,-1.1482018583344324,-0.832003005890622,-0.9256434431450293,-0.7565645981040322,-1.3814414848757701
LingualGyrus,-0.5443772652628015,-0.3020583747361477,-0.3110176838452915,-0.536732109626718,-0.23714561072367743,-0.3785478128939382,-0.47344928901737915,-0.4567313622834475,-0.44486488193109336
MiddleFrontalGyrus,-0.4272662686948244,-0.765563012457774,-0.535240622320055,-0.43073030662930006,-0.5223349320400174,-0.6157334840674508,-0.2110785937691561,-2.1095750835871474,0.4665759922615781
MiddleTemporalGyrusanteriordivision,-1.6727021348491091,-0.6638562025609085,-0.8532435532588099,-1.5485980609528318,-0.7020839835311101,-1.0763370976698272,-2.149844372823715,-0.34391359734420357,0.2966255229579357
MiddleTemporalGyrusposteriordivision,-1.6678999804853154,-0.5106931979287618,-1.4887260962983389,-1.9015039600275665,-0.9966627363550927,-1.8458431909031854,-0.6927061023303044,1.9122519866144703,-0.42036167400056795
MiddleTemporalGyrustemporooccipitalpart,-1.578349898083432,-1.031029260605719,-1.2284554470552647,-1.455762872689429,-0.9014441865796315,-1.2470686950229979,-2.494420668369097,-1.7837241594633804,-1.2472765913925448
OccipitalFusiformGyrus,-0.3965595413291314,0.032033196853038716,-0.7007028021844035,-0.1383080852457264,-0.008474643578847396,-0.7326244281902075,-1.277957357398106,0.2195225046428847,-0.8317970982251421
OccipitalPole,-0.3472599584619639,0.1307727714835428,-1.0246728780784697,-0.740082463098964,0.22274772093074344,-1.091438901328949,2.1512592557917563,-0.16397914841037453,-0.5201089423781871
Pallidum,-0.8271568053152106,-0.8543687371721403,-0.01433142081283888,-0.7678232567829686,-0.8363147959416987,0.11493236141358969,-1.0550418333841616,-0.8893632617528108,-0.2829432739651351
ParacingulateGyrus,-0.5639517120316584,-0.022609392849761722,-0.4171283021059973,-0.9704502639002149,-0.31818274194474944,-0.6579392566022652,1.3444742264228549,4.489691111243627,1.0541565551974474
ParahippocampalGyrusanteriordivision,-0.945263762985046,-0.4377226899784091,-0.5969615634524293,-0.9643024398508148,-0.455763983018348,-0.49004811326128583,-1.8138994234573391,-0.5197388095293207,-1.0568564456173783
ParahippocampalGyrusposteriordivision,-1.5985193729552536,-0.63033325389842,-0.4610807438567125,-1.5955044873786888,-0.6218477338640988,-0.7631338827500891,-1.5940089334053735,-0.5035193250988081,1.1426388102676892
ParietalOperculumCortex,-0.7879155892408465,-0.7825689910174926,-0.34726371763342473,-0.6636275717052258,-0.7244197361001803,-0.3835308265715914,-2.129171325522076,-1.566990549439524,-0.3466826682916533
PlanumPolare,-1.1331607998902187,-0.7879816692727148,-1.0043784805697633,-1.0884740127452905,-1.0618259771422192,-1.1837842060970407,-4.0584508474803345,0.7007934521707199,-0.13613034100033544
PlanumTemporale,-0.874060759668259,-0.8960001030744211,-1.0336643711836462,-1.1284930986771278,-1.2361697991173999,-1.2322830174850958,0.04944070870519624,0.8092650405028912,-0.03674825723089149
PostcentralGyrus,-0.32076407959750636,-1.0246574943332551,-1.1853334059879648,-0.19498372327284333,-0.8105411086900681,-1.1192573349420891,-1.9314799231935917,-2.03858907536128,-1.300858698327545
PrecentralGyrus,-0.380883231265614,-0.7955333509082387,-0.8620906907052484,-0.5375352457043896,-0.5967724552148944,-0.886669448840304,0.26343477668905163,-1.5799942846209325,-0.5924233115229166
PrecuneousCortex,-0.45306050019661454,-0.17619504371792255,-0.39352373926132833,-0.3590359247382028,-0.12938141650282683,-0.4086009441537278,-0.9944864710380975,-0.4451868232331016,-0.3964590580103011
SubcallosalCortex,-0.8166552601517661,0.23475080665435355,0.7421688298628112,-0.6684083124611143,0.32860685602663453,0.7675267962814476,-1.6085331404918175,-0.6467280145414591,0.5214028701110738
SuperiorFrontalGyrus,-0.6552250621936097,-0.5357955971897624,-0.7106487732946426,-0.5632228491032132,-0.2911681155442374,-0.8311706734168127,-0.9980805533906715,-1.3985493523954386,0.3320686808610303
SuperiorParietalLobule,-0.49588205515616135,-0.9122891026634603,-0.8416752797762375,-0.4333433006291945,-0.8064960718838182,-0.7312882907902292,-0.7610631375420039,-1.1607875930634188,-1.1503208776246299
SuperiorTemporalGyrusanteriordivision,-1.5331002982050852,-0.7434318854333691,-0.5935491147517422,-1.4937094550624814,-0.9817801950189241,-0.8142090230598098,-1.660970783266175,1.3377830190661377,0.5493158810174165
SuperiorTemporalGyrusposteriordivision,-1.457405034831996,-0.4849496230915044,-0.7635935309938842,-1.2886629960872662,-0.588516531140516,-0.9580534524712885,-3.8256597120686946,0.4819102021437798,-0.011102760080378082
SupracalcarineCortex,-0.38077524395729256,-0.268083588110781,0.08547895628950872,-0.1618596666049733,-0.21027327151485453,0.082813192566052,-1.68528025109564,-0.8862960448738804,-0.43964852378583297
SupramarginalGyrusanteriordivision,-0.40972064419539056,-0.5987583830290303,-0.42893901346691726,-0.32587709070739107,-0.534620999799029,-0.31439155387851636,-1.4115970746687267,-0.9386053997689873,-1.5835267055275084
SupramarginalGyrusposteriordivision,-0.5824920228070077,-0.8295507863723187,-1.072726186973225,-0.4738003022364816,-1.025820462801928,-0.9482239336447983,-2.0980393107446256,-0.037058801128294024,-1.4327046078502697
TemporalFusiformCortexanteriordivision,-1.614608038560033,-0.47051027348048835,0.4206062949504405,-1.4199192975906292,-0.47023870424529285,0.4468666015553791,-3.6056973336193665,-1.1688401021140504,-1.4658420738368678
TemporalFusiformCortexposteriordivision,-1.6424182410745936,-0.6770527371209666,-0.45681332852940576,-1.8045259209282756,-0.7229884106698254,-0.9781791224489887,-0.9395885835269681,-0.45016216021242544,1.8085555327476586
TemporalOccipitalFusiformCortex,-1.9212299611922794,-1.0879576928101562,-0.0761939139634394,-1.9072212168773517,-1.1623118028612534,-0.1610991233212463,-3.4224768437102924,-0.6591381988793952,0.6501181104706332
TemporalPole,-1.2546838992640013,-0.5920981937150314,-0.7582246593535329,-1.1910807786609714,-0.654023769453807,-0.9257196780785175,-4.390344630311466,0.31512695626257914,0.6869977803029654
Thalamus,-0.9829975591456752,-0.8237575334037837,-0.2622331133449686,-1.00267117412679,-0.788931511174752,-0.2914328768585285,-0.8470529447446397,-0.9255783938641843,0.06978958692791443
